案件,縣市,鄉鎮市區,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數
第14案,澎湖縣,澎湖縣湖西鄉,湖西鄉,"1,445","3,701","5,146",378,"5,524","12,741"
第14案,澎湖縣,澎湖縣白沙鄉,白沙鄉,886,"2,483","3,369",287,"3,656","8,625"
第14案,澎湖縣,澎湖縣西嶼鄉,西嶼鄉,666,"1,618","2,284",270,"2,554","7,382"
第14案,澎湖縣,澎湖縣望安鄉,望安鄉,495,"1,193","1,688",156,"1,844","4,628"
第14案,澎湖縣,澎湖縣七美鄉,七美鄉,317,625,942,79,"1,021","3,374"
第14案,基隆市,基隆市中正區,中正區,"6,497","13,633","20,130","1,355","21,485","45,545"
第14案,基隆市,基隆市七堵區,七堵區,"7,825","15,342","23,167","1,340","24,507","46,256"
第14案,基隆市,基隆市暖暖區,暖暖區,"5,920","11,065","16,985",713,"17,698","33,225"
第14案,基隆市,基隆市仁愛區,仁愛區,"6,151","12,100","18,251","1,309","19,560","36,738"
第14案,基隆市,基隆市中山區,中山區,"6,749","13,396","20,145","1,141","21,286","41,856"
第14案,基隆市,基隆市安樂區,安樂區,"12,394","22,700","35,094","1,570","36,664","70,396"
第14案,基隆市,基隆市信義區,信義區,"7,688","15,505","23,193",944,"24,137","46,014"
第14案,新竹市,新竹市東區,東區,"32,694","57,138","89,832","3,741","93,573","163,757"
第14案,新竹市,新竹市北區,北區,"22,029","43,977","66,006","3,196","69,202","123,122"
第14案,新竹市,新竹市香山區,香山區,"11,128","23,396","34,524","1,950","36,474","64,896"
第14案,嘉義市,嘉義市東區,東區,"17,757","34,768","52,525","2,599","55,124","100,647"
第14案,嘉義市,嘉義市西區,西區,"20,019","43,073","63,092","3,410","66,502","120,906"
第14案,臺北市,臺北市松山區,松山區,"36,698","59,358","96,056","4,370","100,426","169,278"
第14案,臺北市,臺北市信義區,信義區,"39,545","66,509","106,054","4,758","110,812","190,444"
第14案,臺北市,臺北市大安區,大安區,"53,370","87,228","140,598","5,605","146,203","252,645"
第14案,臺北市,臺北市中山區,中山區,"41,628","64,606","106,234","5,201","111,435","195,148"
第14案,臺北市,臺北市中正區,中正區,"26,803","45,286","72,089","3,086","75,175","128,292"
第14案,臺北市,臺北市大同區,大同區,"23,597","35,491","59,088","3,422","62,510","107,557"
第14案,臺北市,臺北市萬華區,萬華區,"32,071","54,169","86,240","5,330","91,570","164,020"
第14案,臺北市,臺北市文山區,文山區,"47,668","82,459","130,127","5,924","136,051","227,211"
第14案,臺北市,臺北市南港區,南港區,"21,854","35,073","56,927","2,530","59,457","101,907"
第14案,臺北市,臺北市內湖區,內湖區,"52,075","81,158","133,233","5,297","138,530","236,824"
第14案,臺北市,臺北市士林區,士林區,"50,658","80,462","131,120","7,567","138,687","241,854"
第14案,臺北市,臺北市北投區,北投區,"43,826","70,478","114,304","5,955","120,259","213,250"
第14案,高雄市,高雄市鹽埕區,鹽埕區,"4,601","7,454","12,055",501,"12,556","21,617"
第14案,高雄市,高雄市鼓山區,鼓山區,"22,096","43,286","65,382","3,072","68,454","114,979"
